Unnamed: 0,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
179,2018-06-28,35℃,24℃,多云~晴,北风,1-2级,33,优,1
180,2018-06-29,37℃,25℃,晴,南风,1-2级,59,良,2
181,2018-06-30,37℃,23℃,雷阵雨~多云,东南风,3-4级,81,良,2
182,2018-07-01,35℃,23℃,晴,东南风,1-2级,68,良,2
183,2018-07-02,32℃,23℃,多云~雷阵雨,东南风,3-4级,66,良,2
184,2018-07-03,32℃,24℃,雷阵雨~多云,东南风,1-2级,76,良,2
185,2018-07-04,35℃,26℃,多云,西南风,1-2级,96,良,2
186,2018-07-05,37℃,24℃,多云~雷阵雨,东南风,1-2级,104,轻度污染,3
187,2018-07-06,33℃,23℃,多云~雷阵雨,东南风,3-4级,71,良,2
188,2018-07-07,31℃,23℃,雷阵雨,东南风,1-2级,72,良,2
189,2018-07-08,30℃,23℃,雷阵雨,南风,1-2级,73,良,2
190,2018-07-09,30℃,22℃,雷阵雨~多云,东南风,1-2级,106,轻度污染,3
191,2018-07-10,30℃,22℃,多云~雷阵雨,南风,1-2级,48,优,1
192,2018-07-11,25℃,22℃,雷阵雨~大雨,东北风,1-2级,44,优,1
193,2018-07-12,27℃,22℃,多云,南风,1-2级,46,优,1
194,2018-07-13,28℃,23℃,雷阵雨,东风,1-2级,60,良,2
195,2018-07-14,31℃,24℃,雷阵雨~多云,东南风,1-2级,73,良,2
196,2018-07-15,32℃,25℃,雷阵雨,南风,1-2级,87,良,2
197,2018-07-16,31℃,24℃,中雨~雷阵雨,南风,1-2级,43,优,1
198,2018-07-17,27℃,23℃,中雨~雷阵雨,西风,1-2级,28,优,1
199,2018-07-18,33℃,25℃,多云,南风,1-2级,99,良,2
200,2018-07-19,33℃,27℃,多云~雷阵雨,南风,1-2级,91,良,2
201,2018-07-20,33℃,27℃,多云,西南风,3-4级,116,轻度污染,3
202,2018-07-21,34℃,26℃,多云~雷阵雨,南风,3-4级,96,良,2
203,2018-07-22,34℃,25℃,多云,东南风,1-2级,66,良,2
204,2018-07-23,32℃,25℃,小雨~大雨,东风,1-2级,75,良,2
205,2018-07-24,28℃,26℃,暴雨~雷阵雨,东北风,3-4级,29,优,1
206,2018-07-25,32℃,25℃,多云,北风,1-2级,28,优,1
207,2018-07-26,33℃,25℃,多云~雷阵雨,东北风,1-2级,40,优,1
208,2018-07-27,32℃,23℃,多云,东北风,1-2级,65,良,2
209,2018-07-28,33℃,24℃,多云~晴,东南风,1-2级,83,良,2
210,2018-07-29,33℃,25℃,多云,东南风,1-2级,101,轻度污染,3
211,2018-07-30,34℃,25℃,晴,东南风,1-2级,104,轻度污染,3
212,2018-07-31,35℃,26℃,晴,南风,1-2级,99,良,2
213,2018-08-01,35℃,27℃,多云~雷阵雨,东南风,1-2级,91,良,2
214,2018-08-02,36℃,26℃,多云~晴,南风,1-2级,118,轻度污染,3
215,2018-08-03,36℃,26℃,晴,南风,1-2级,86,良,2
216,2018-08-04,36℃,27℃,晴~多云,南风,1-2级,96,良,2
217,2018-08-05,35℃,25℃,雷阵雨~中雨,东风,1-2级,61,良,2
218,2018-08-06,30℃,25℃,小雨~雷阵雨,东风,1-2级,52,良,2
219,2018-08-07,29℃,24℃,雷阵雨~中雨,东南风,1-2级,85,良,2
220,2018-08-08,29℃,24℃,雷阵雨~阴,东北风,1-2级,45,优,1
221,2018-08-09,30℃,24℃,多云,南风,1-2级,49,优,1
222,2018-08-10,33℃,25℃,多云~雷阵雨,南风,1-2级,71,良,2
223,2018-08-11,30℃,23℃,雷阵雨~中雨,东风,1-2级,60,良,2
224,2018-08-12,30℃,24℃,雷阵雨,东南风,1-2级,74,良,2
225,2018-08-13,31℃,24℃,雷阵雨~中雨,东北风,1-2级,62,良,2
226,2018-08-14,29℃,24℃,中雨~小雨,东北风,1-2级,42,优,1
227,2018-08-15,32℃,24℃,多云,东北风,3-4级,33,优,1
228,2018-08-16,30℃,21℃,晴~多云,东北风,1-2级,40,优,1
229,2018-08-17,30℃,22℃,多云~雷阵雨,东南风,1-2级,69,良,2
230,2018-08-18,28℃,23℃,小雨~中雨,北风,3-4级,40,优,1
231,2018-08-19,26℃,23℃,中雨~小雨,东北风,1-2级,37,优,1
232,2018-08-20,32℃,23℃,多云~晴,北风,1-2级,41,优,1
233,2018-08-21,32℃,22℃,多云,北风,1-2级,38,优,1
234,2018-08-22,28℃,21℃,雷阵雨~多云,西南风,1-2级,48,优,1
235,2018-08-23,31℃,21℃,多云,北风,1-2级,43,优,1
236,2018-08-24,30℃,20℃,晴,北风,1-2级,40,优,1
237,2018-08-25,31℃,22℃,多云~小雨,南风,1-2级,62,良,2
238,2018-08-26,31℃,22℃,雷阵雨,东南风,1-2级,76,良,2
239,2018-08-27,30℃,22℃,多云~雷阵雨,东南风,1-2级,89,良,2
240,2018-08-28,29℃,22℃,小雨~多云,南风,1-2级,58,良,2
241,2018-08-29,31℃,20℃,晴~多云,北风,3-4级,44,优,1
242,2018-08-30,29℃,20℃,多云,南风,1-2级,47,优,1
243,2018-08-31,29℃,20℃,多云~阴,东南风,1-2级,48,优,1
244,2018-09-01,27℃,19℃,阴~小雨,南风,1-2级,50,优,1
245,2018-09-02,27℃,19℃,小雨~多云,南风,1-2级,55,良,2
246,2018-09-03,30℃,19℃,晴,北风,3-4级,70,良,2
247,2018-09-04,31℃,18℃,晴,西南风,3-4级,24,优,1
248,2018-09-05,31℃,19℃,晴~多云,西南风,3-4级,34,优,1
249,2018-09-06,27℃,18℃,多云~晴,西北风,4-5级,37,优,1
250,2018-09-07,27℃,16℃,晴,西北风,3-4级,22,优,1
251,2018-09-08,27℃,15℃,多云~晴,北风,1-2级,28,优,1
252,2018-09-09,28℃,16℃,晴,西南风,1-2级,51,良,2
253,2018-09-10,28℃,19℃,多云,南风,1-2级,65,良,2
254,2018-09-11,26℃,19℃,多云,南风,1-2级,68,良,2
255,2018-09-12,29℃,19℃,多云,南风,1-2级,59,良,2
256,2018-09-13,29℃,20℃,多云~阴,南风,1-2级,107,轻度污染,3
257,2018-09-14,28℃,19℃,小雨~多云,南风,1-2级,128,轻度污染,3
258,2018-09-15,26℃,15℃,多云,北风,3-4级,42,优,1
259,2018-09-16,25℃,14℃,多云~晴,北风,1-2级,29,优,1
260,2018-09-17,27℃,17℃,多云~阴,北风,1-2级,37,优,1
261,2018-09-18,25℃,17℃,阴~多云,西南风,1-2级,50,优,1
262,2018-09-19,26℃,17℃,多云,南风,1-2级,52,良,2
263,2018-09-20,27℃,16℃,多云,西南风,1-2级,63,良,2
264,2018-09-21,25℃,14℃,晴,西北风,3-4级,50,优,1
265,2018-09-22,24℃,13℃,晴,西北风,3-4级,28,优,1
266,2018-09-23,23℃,12℃,晴,西北风,4-5级,28,优,1
267,2018-09-24,23℃,11℃,晴,北风,1-2级,28,优,1
268,2018-09-25,24℃,12℃,晴~多云,南风,1-2级,44,优,1
269,2018-09-26,24℃,14℃,多云,南风,1-2级,53,良,2
270,2018-09-27,22℃,12℃,小雨,南风,1-2级,84,良,2
271,2018-09-28,24℃,11℃,多云,西南风,3-4级,84,良,2
272,2018-09-29,22℃,11℃,晴,北风,3-4级,21,优,1
273,2018-09-30,19℃,13℃,多云,西北风,4-5级,22,优,1
274,2018-10-01,24℃,12℃,晴,北风,4-5级,25,优,1
275,2018-10-02,24℃,11℃,晴,西北风,1-2级,31,优,1
276,2018-10-03,25℃,10℃,晴,北风,1-2级,36,优,1
277,2018-10-04,25℃,12℃,晴,南风,1-2级,65,良,2
278,2018-10-05,24℃,14℃,多云,南风,1-2级,105,轻度污染,3
279,2018-10-06,20℃,8℃,晴,北风,4-5级,32,优,1
280,2018-10-07,21℃,7℃,晴,西风,1-2级,35,优,1
281,2018-10-08,21℃,8℃,多云,北风,1-2级,37,优,1
282,2018-10-09,15℃,4℃,多云~晴,西北风,4-5级,21,优,1
283,2018-10-10,17℃,4℃,多云~晴,西北风,1-2级,25,优,1
284,2018-10-11,18℃,5℃,晴~多云,北风,1-2级,30,优,1
285,2018-10-12,20℃,8℃,多云~晴,南风,1-2级,62,良,2
286,2018-10-13,20℃,8℃,多云,西北风,1-2级,106,轻度污染,3
287,2018-10-14,21℃,10℃,多云,南风,1-2级,177,中度污染,4
288,2018-10-15,17℃,11℃,小雨,北风,1-2级,198,中度污染,4
289,2018-10-16,17℃,7℃,多云~晴,东北风,1-2级,88,良,2
290,2018-10-17,17℃,5℃,晴,北风,1-2级,54,良,2
291,2018-10-18,18℃,5℃,晴,南风,1-2级,49,优,1
292,2018-10-19,19℃,7℃,多云,南风,1-2级,60,良,2
293,2018-10-20,18℃,7℃,多云,南风,1-2级,86,良,2
294,2018-10-21,18℃,7℃,多云,南风,1-2级,143,轻度污染,3
295,2018-10-22,19℃,5℃,多云~晴,西北风,1-2级,176,中度污染,4
296,2018-10-23,19℃,4℃,晴,西南风,3-4级,37,优,1
297,2018-10-24,20℃,6℃,晴~多云,南风,1-2级,70,良,2
298,2018-10-25,15℃,8℃,多云,西风,1-2级,119,轻度污染,3
299,2018-10-26,14℃,3℃,晴,西北风,4-5级,46,优,1
300,2018-10-27,17℃,5℃,多云,西南风,1-2级,33,优,1
301,2018-10-28,17℃,4℃,多云~晴,西北风,4-5级,32,优,1
302,2018-10-29,15℃,3℃,晴,北风,3-4级,22,优,1
303,2018-10-30,16℃,1℃,晴,北风,1-2级,33,优,1
304,2018-10-31,17℃,3℃,晴,西南风,1-2级,47,优,1
305,2018-11-01,17℃,3℃,晴,南风,1-2级,69,良,2
306,2018-11-02,18℃,4℃,晴,南风,1-2级,149,轻度污染,3
307,2018-11-03,16℃,6℃,多云,南风,1-2级,206,重度污染,5
308,2018-11-04,10℃,2℃,小雨~多云,北风,3-4级,115,轻度污染,3
309,2018-11-05,10℃,2℃,多云,西南风,1-2级,30,优,1
310,2018-11-06,12℃,0℃,多云,北风,1-2级,33,优,1
311,2018-11-07,13℃,3℃,多云,西南风,1-2级,49,优,1
312,2018-11-08,14℃,2℃,多云,西南风,1-2级,90,良,2
313,2018-11-09,15℃,1℃,晴~多云,北风,3-4级,69,良,2
314,2018-11-10,11℃,0℃,多云,北风,1-2级,35,优,1
315,2018-11-11,13℃,1℃,多云~晴,西南风,1-2级,70,良,2
316,2018-11-12,14℃,2℃,晴,南风,1-2级,124,轻度污染,3
317,2018-11-13,13℃,5℃,多云,东南风,1-2级,219,重度污染,5
318,2018-11-14,13℃,5℃,多云,南风,1-2级,266,重度污染,5
319,2018-11-15,8℃,1℃,小雨~多云,北风,3-4级,100,良,2
320,2018-11-16,8℃,-1℃,晴~多云,北风,1-2级,28,优,1
321,2018-11-17,9℃,-2℃,多云~晴,西南风,1-2级,66,良,2
322,2018-11-18,11℃,-3℃,晴,西北风,3-4级,70,良,2
323,2018-11-19,10℃,-2℃,晴~多云,南风,1-2级,78,良,2
324,2018-11-20,9℃,-1℃,多云,北风,1-2级,74,良,2
325,2018-11-21,9℃,-3℃,晴,西北风,2级,43,优,1
326,2018-11-22,8℃,-3℃,晴~多云,东南风,1级,55,良,2
327,2018-11-23,7℃,0℃,多云,东北风,2级,93,良,2
328,2018-11-24,9℃,-3℃,晴,西南风,1级,114,轻度污染,3
329,2018-11-25,10℃,-3℃,晴,东南风,1级,120,轻度污染,3
330,2018-11-26,10℃,0℃,多云,东南风,1级,245,重度污染,5
331,2018-11-27,9℃,-3℃,晴~多云,西北风,2级,198,中度污染,4
332,2018-11-28,8℃,-3℃,晴,东北风,1级,115,轻度污染,3
333,2018-11-29,7℃,-4℃,晴,东南风,1级,107,轻度污染,3
334,2018-11-30,8℃,-3℃,晴,东南风,1级,123,轻度污染,3
335,2018-12-01,7℃,0℃,多云,东南风,1级,163,中度污染,4
336,2018-12-02,9℃,2℃,雾~多云,东北风,1级,234,重度污染,5
337,2018-12-03,8℃,-3℃,多云~晴,东北风,3级,198,中度污染,4
338,2018-12-04,4℃,-6℃,晴~多云,西北风,2级,61,良,2
